"","Site_Visnum_Layer","UID","SITE_ID","VISNUM","Col_Date","Col_loc","Latitude","Longitude","REGION","SUBREGIONS","STATE","SAMPYEAR","CHLA..ug.L.","TN..mgN.L.","DIN..mgN.L.","TP..mgP.L.","DIP..mgP.L.","DIN.DIP..Molar.","TN.TP..Molar.","SECCHI_MEAN..m.","TSS..mg.L.","TS_Chla","TS_N","TS_P","TS_SD","TS_Chla_Q","predict_TSI","predict_Cat"
"214","NCCA10-1342_1_SURFACE",9378,"NCCA10-1342",1,"9/9/10","SURFACE",29.42,-89.3195,"Gulf","GULF3_MS Delta LA","LA",2010,14.14,1.678,1.34,0.22,0.164,18,16.9,0.6,NA,"Meso","Eu","Eu","Oligo","Hyper",123.434494116824,"Eu"
"215","NCCA10-1343_1_SURFACE",9379,"NCCA10-1343",1,"9/2/10","SURFACE",29.6416,-89.1634,"Gulf","GULF3_MS Delta LA","LA",2010,9.08,0.524,0.004,0.049,0.006,1.5,23.7,1.5,NA,"Meso","Meso","Meso","Meso","Eu",121.24047038834,"Eu"
"216","NCCA10-1344_1_SURFACE",9380,"NCCA10-1344",1,"8/1/10","SURFACE",30.1482,-89.1511,"Gulf","GULF3_MS Delta LA","LA",2010,13.58,0.638,0.013,0.097,0.036,0.8,14.6,0.9,NA,"Meso","Meso","Meso","Oligo","Hyper",129.177956112611,"Eu"
"217","NCCA10-1345_1_SURFACE",9381,"NCCA10-1345",1,"9/2/10","SURFACE",29.6344,-89.2249,"Gulf","GULF3_MS Delta LA","LA",2010,29.12,0.828,0.102,0.134,0.048,4.7,13.7,0.6,NA,"Eu","Meso","Eu","Oligo","Hyper",127.666334518698,"Eu"
"218","NCCA10-1346_1_SURFACE",9382,"NCCA10-1346",1,"8/22/10","SURFACE",29.9501,-89.2043,"Gulf","GULF3_MS Delta LA","LA",2010,23.73,0.999,0.018,0.175,0.072,0.6,12.6,0.6,NA,"Eu","Meso","Eu","Oligo","Hyper",198.264020568469,"Eu"
"219","NCCA10-1347_1_SURFACE",9383,"NCCA10-1347",1,"9/9/10","SURFACE",29.5766,-89.0666,"Gulf","GULF3_MS Delta LA","LA",2010,3.93,0.386,0.017,0.033,0.007,5.3,25.7,2.7,NA,"Oligo","Meso","Meso","Meso","Meso",2.82260368723091,"Meso"
"220","NCCA10-1348_1_SURFACE",9384,"NCCA10-1348",1,"8/23/10","SURFACE",30.1715,-88.9693,"Gulf","GULF3_MS Delta LA","MS",2010,2.13,0.333,0.022,0.03,0.012,4,24.1,4,NA,"Oligo","Meso","Meso","Eu","Meso",-51.7602952736216,"Meso"
"221","NCCA10-1349_1_SURFACE",9385,"NCCA10-1349",1,"9/8/10","SURFACE",29.556,-89.4597,"Gulf","GULF3_MS Delta LA","LA",2010,52.37,1.545,0.731,0.216,0.094,17.1,15.8,0.8,NA,"Eu","Eu","Eu","Oligo","Hyper",134.430179655135,"Eu"
"222","NCCA10-1350_1_SURFACE",9386,"NCCA10-1350",1,"8/5/10","SURFACE",30.0011,-89.445,"Gulf","GULF3_MS Delta LA","LA",2010,16.24,0.763,0.009,0.11,0.049,0.4,15.3,0.5,NA,"Meso","Meso","Eu","Oligo","Hyper",177.385441330786,"Eu"
"223","NCCA10-1351_1_SURFACE",9387,"NCCA10-1351",1,"8/10/10","SURFACE",29.8552,-89.1964,"Gulf","GULF3_MS Delta LA","LA",2010,29.66,0.994,0.016,0.148,0.059,0.6,14.9,0.8,NA,"Eu","Meso","Eu","Oligo","Hyper",183.232565031147,"Eu"
"224","NCCA10-1352_1_SURFACE",9388,"NCCA10-1352",1,"9/15/10","SURFACE",30.0625,-89.9151,"Gulf","GULF3_MS Delta LA","LA",2010,5.44,0.348,0.025,0.033,0.019,2.9,23.3,2.3,NA,"Meso","Meso","Meso","Meso","Eu",-35.4001073413528,"Meso"
"225","NCCA10-1353_1_SURFACE",9389,"NCCA10-1353",1,"8/23/10","SURFACE",29.9681,-89.1568,"Gulf","GULF3_MS Delta LA","LA",2010,22.91,0.89,0.011,0.164,0.061,0.4,12,0.6,NA,"Eu","Meso","Eu","Oligo","Hyper",201.103896648588,"Eu"
"226","NCCA10-1354_1_SURFACE",9390,"NCCA10-1354",1,"9/8/10","SURFACE",29.5166,-89.4405,"Gulf","GULF3_MS Delta LA","LA",2010,44.6,1.58,0.91,0.227,0.13,15.4,15.4,0.6,NA,"Eu","Eu","Eu","Oligo","Hyper",136.698396307447,"Eu"
"227","NCCA10-1355_1_SURFACE",9391,"NCCA10-1355",1,"8/25/10","SURFACE",29.8334,-88.9821,"Gulf","GULF3_MS Delta LA","LA",2010,7.3,0.474,0.014,0.064,0.018,1.7,16.4,1.9,NA,"Meso","Meso","Meso","Meso","Eu",61.8314021478199,"Meso"
"228","NCCA10-1356_1_SURFACE",9392,"NCCA10-1356",1,"8/20/10","SURFACE",30.0246,-89.18,"Gulf","GULF3_MS Delta LA","LA",2010,20.66,0.805,0.011,0.134,0.061,0.4,13.2,0.9,NA,"Eu","Meso","Eu","Oligo","Hyper",162.941906579972,"Eu"
"229","NCCA10-1357_1_SURFACE",9393,"NCCA10-1357",1,"8/24/10","SURFACE",29.7572,-89.4571,"Gulf","GULF3_MS Delta LA","LA",2010,24.34,0.871,0.006,0.203,0.096,0.1,9.5,0.6,NA,"Eu","Meso","Eu","Oligo","Hyper",219.037590524681,"Eu"
"230","NCCA10-1358_1_SURFACE",9394,"NCCA10-1358",1,"8/10/10","SURFACE",29.8466,-89.215,"Gulf","GULF3_MS Delta LA","LA",2010,35.8,1.016,0.01,0.15,0.064,0.3,14.9,0.6,NA,"Eu","Eu","Eu","Oligo","Hyper",207.284274837945,"Eu"
"231","NCCA10-1359_1_SURFACE",9395,"NCCA10-1359",1,"8/1/10","SURFACE",30.1642,-89.1837,"Gulf","GULF3_MS Delta LA","LA",2010,10.68,0.587,0.009,0.097,0.044,0.5,13.3,1.1,NA,"Meso","Meso","Meso","Meso","Eu",119.220059151142,"Eu"
"232","NCCA10-1360_1_SURFACE",9396,"NCCA10-1360",1,"8/15/10","SURFACE",29.6891,-89.5383,"Gulf","GULF3_MS Delta LA","LA",2010,42.96,1.393,0.014,0.238,0.083,0.4,12.9,0.3,NA,"Eu","Eu","Eu","Oligo","Hyper",277.496874266105,"Eu"
"233","NCCA10-1361_1_SURFACE",9397,"NCCA10-1361",1,"8/25/10","SURFACE",29.966,-88.8486,"Gulf","GULF3_MS Delta LA","LA",2010,7.37,0.473,0.017,0.057,0.009,4.2,18.3,1.6,NA,"Meso","Meso","Meso","Meso","Eu",72.2881119343443,"Meso"
"234","NCCA10-1364_1_SURFACE",9398,"NCCA10-1364",1,"9/14/10","SURFACE",27.7952,-97.2077,"Gulf","GULF4_Texas Coast","TX",2010,3.74,0.545,0.019,0.042,0.026,1.6,28.5,1.1,NA,"Oligo","Meso","Meso","Meso","Meso",75.3785001098787,"Meso"
"235","NCCA10-1365_1_SURFACE",9399,"NCCA10-1365",1,"9/8/10","SURFACE",28.101,-97.1974,"Gulf","GULF4_Texas Coast","TX",2010,11.08,0.761,0.029,0.167,0.09,0.7,10.1,0.3,NA,"Meso","Meso","Eu","Oligo","Hyper",208.207928467951,"Eu"
"236","NCCA10-1368_1_SURFACE",9400,"NCCA10-1368",1,"9/12/10","SURFACE",27.7281,-97.2761,"Gulf","GULF4_Texas Coast","TX",2010,5.54,0.563,0.019,0.047,0.024,1.7,26.4,1,NA,"Meso","Meso","Meso","Oligo","Eu",91.7513537272311,"Eu"
"237","NCCA10-1370_1_SURFACE",9401,"NCCA10-1370",1,"9/22/10","SURFACE",26.0929,-97.1827,"Gulf","GULF4_Texas Coast","TX",2010,2.31,0.293,0.031,0.041,0.026,2.6,15.9,1.1,NA,"Oligo","Meso","Meso","Meso","Meso",8.11558473532969,"Meso"
"238","NCCA10-1371_1_SURFACE",9402,"NCCA10-1371",1,"9/20/10","SURFACE",27.2734,-97.4262,"Gulf","GULF4_Texas Coast","TX",2010,30.93,1.021,0.03,0.052,0.028,2.4,43.6,0.6,NA,"Eu","Eu","Meso","Oligo","Hyper",152.626268501976,"Eu"
"239","NCCA10-1372_1_SURFACE",9403,"NCCA10-1372",1,"9/14/10","SURFACE",27.8262,-97.3051,"Gulf","GULF4_Texas Coast","TX",2010,4.93,0.499,0.007,0.049,0.026,0.6,22.7,0.9,NA,"Oligo","Meso","Meso","Oligo","Eu",112.899065266499,"Eu"
"240","NCCA10-1373_1_SURFACE",9404,"NCCA10-1373",1,"9/8/10","SURFACE",28.0882,-97.1701,"Gulf","GULF4_Texas Coast","TX",2010,8.96,0.765,0.067,0.161,0.09,1.6,10.5,0.3,NA,"Meso","Meso","Eu","Oligo","Eu",183.859435304158,"Eu"
"241","NCCA10-1374_1_SURFACE",9405,"NCCA10-1374",1,"9/22/10","SURFACE",26.1473,-97.2663,"Gulf","GULF4_Texas Coast","TX",2010,10,0.506,0.023,0.045,0.007,7.2,25.1,0.8,NA,"Meso","Meso","Meso","Oligo","Eu",114.146380483772,"Eu"
"242","NCCA10-1375_1_SURFACE",9406,"NCCA10-1375",1,"9/21/10","SURFACE",27.4502,-97.3518,"Gulf","GULF4_Texas Coast","TX",2010,15.52,0.816,0.043,0.035,0.032,3,51.9,1.5,NA,"Meso","Meso","Meso","Meso","Hyper",58.012038507757,"Meso"
"243","NCCA10-1376_1_SURFACE",9407,"NCCA10-1376",1,"9/12/10","SURFACE",27.7381,-97.208,"Gulf","GULF4_Texas Coast","TX",2010,4.66,0.658,0.021,0.03,0.017,2.7,48.5,1.5,NA,"Oligo","Meso","Meso","Meso","Eu",63.8124361153564,"Meso"
"244","NCCA10-1377_1_SURFACE",9408,"NCCA10-1377",1,"9/6/10","SURFACE",28.1179,-97.0168,"Gulf","GULF4_Texas Coast","TX",2010,4.35,0.644,0.079,0.123,0.07,2.5,11.6,0.5,NA,"Oligo","Meso","Eu","Oligo","Meso",132.856828713187,"Eu"
"245","NCCA10-1379_1_SURFACE",9409,"NCCA10-1379",1,"9/13/10","SURFACE",27.8438,-97.4677,"Gulf","GULF4_Texas Coast","TX",2010,12.17,0.816,0.009,0.161,0.115,0.2,11.2,0.7,NA,"Meso","Meso","Eu","Oligo","Hyper",204.373498431902,"Eu"
"246","NCCA10-1380_1_SURFACE",9410,"NCCA10-1380",1,"10/5/10","SURFACE",27.2494,-97.5947,"Gulf","GULF4_Texas Coast","TX",2010,31.5,1.203,0.012,0.163,0.058,0.5,16.3,0.3,NA,"Eu","Eu","Eu","Oligo","Hyper",279.779413965993,"Eu"
"247","NCCA10-1381_1_SURFACE",9411,"NCCA10-1381",1,"9/6/10","SURFACE",27.9835,-97.0269,"Gulf","GULF4_Texas Coast","TX",2010,12.15,0.539,0.02,0.066,0.041,1.1,18,1,NA,"Meso","Meso","Meso","Oligo","Hyper",97.3002615768591,"Eu"
"248","NCCA10-1382_1_SURFACE",9412,"NCCA10-1382",1,"8/2/10","SURFACE",29.3464,-94.7679,"Gulf","GULF4_Texas Coast","TX",2010,13.65,0.566,0.015,0.112,0.055,0.6,11.2,0.9,NA,"Meso","Meso","Eu","Oligo","Hyper",143.221679845687,"Eu"
"249","NCCA10-1383_1_SURFACE",9414,"NCCA10-1383",1,"8/4/10","SURFACE",29.527,-94.8052,"Gulf","GULF4_Texas Coast","TX",2010,17.44,0.655,0.013,0.166,0.101,0.3,8.7,0.5,NA,"Meso","Meso","Eu","Oligo","Hyper",194.156793294604,"Eu"
"250","NCCA10-1384_1_SURFACE",9416,"NCCA10-1384",1,"7/29/10","SURFACE",29.5839,-94.9805,"Gulf","GULF4_Texas Coast","TX",2010,14.53,0.809,0.083,0.202,0.133,1.4,8.9,0.6,NA,"Meso","Meso","Eu","Oligo","Hyper",163.043623144457,"Eu"
"251","NCCA10-1385_1_SURFACE",9417,"NCCA10-1385",1,"7/29/10","SURFACE",29.6624,-94.8697,"Gulf","GULF4_Texas Coast","TX",2010,18.39,0.67,0.023,0.163,0.114,0.4,9.1,0.4,NA,"Meso","Meso","Eu","Oligo","Hyper",185.008132598322,"Eu"
"252","NCCA10-1386_1_SURFACE",9418,"NCCA10-1386",1,"7/28/10","SURFACE",29.747,-94.7286,"Gulf","GULF4_Texas Coast","TX",2010,7.48,0.676,0.091,0.143,0.096,2.1,10.5,0.4,NA,"Meso","Meso","Eu","Oligo","Eu",144.355127916669,"Eu"
"253","NCCA10-1387_1_SURFACE",9419,"NCCA10-1387",1,"8/3/10","SURFACE",29.1911,-95.0723,"Gulf","GULF4_Texas Coast","TX",2010,11.69,0.628,0.024,0.087,0.037,1.4,15.9,0.5,NA,"Meso","Meso","Meso","Oligo","Hyper",153.798250008561,"Eu"
"254","NCCA10-1388_1_SURFACE",9420,"NCCA10-1388",1,"8/4/10","SURFACE",29.5123,-94.6882,"Gulf","GULF4_Texas Coast","TX",2010,11.83,0.678,0.009,0.124,0.063,0.3,12.1,0.7,NA,"Meso","Meso","Eu","Oligo","Hyper",185.332625598649,"Eu"
"255","NCCA10-1389_1_SURFACE",9421,"NCCA10-1389",1,"8/2/10","SURFACE",29.3559,-94.8598,"Gulf","GULF4_Texas Coast","TX",2010,11.48,0.617,0.069,0.111,0.054,2.8,12.3,0.6,NA,"Meso","Meso","Eu","Oligo","Hyper",125.205758875574,"Eu"
"256","NCCA10-1390_1_SURFACE",9422,"NCCA10-1390",1,"7/27/10","SURFACE",29.7181,-94.7235,"Gulf","GULF4_Texas Coast","TX",2010,11.17,0.731,0.112,0.143,0.095,2.6,11.4,0.5,NA,"Meso","Meso","Eu","Oligo","Hyper",137.331424887711,"Eu"
"257","NCCA10-1391_1_SURFACE",9423,"NCCA10-1391",1,"8/10/10","SURFACE",29.0618,-95.1636,"Gulf","GULF4_Texas Coast","TX",2010,14.58,0.513,0.026,0.084,0.012,4.8,13.5,0.3,NA,"Meso","Meso","Meso","Oligo","Hyper",179.80036902674,"Eu"
"258","NCCA10-1392_1_SURFACE",9424,"NCCA10-1392",1,"8/17/10","SURFACE",28.6246,-96.0101,"Gulf","GULF4_Texas Coast","TX",2010,18.99,0.768,0.017,0.239,0.144,0.3,7.1,0.4,NA,"Meso","Meso","Eu","Oligo","Hyper",225.895205653576,"Eu"
"259","NCCA10-1393_1_SURFACE",9426,"NCCA10-1393",1,"8/16/10","SURFACE",28.7333,-95.7842,"Gulf","GULF4_Texas Coast","TX",2010,8.59,0.469,0.037,0.11,0.06,1.4,9.4,0.4,NA,"Meso","Meso","Eu","Oligo","Eu",130.461533700708,"Eu"
"260","NCCA10-1394_1_SURFACE",9428,"NCCA10-1394",1,"8/24/10","SURFACE",28.7222,-96.3963,"Gulf","GULF4_Texas Coast","TX",2010,17.23,0.975,0.007,0.219,0.139,0.1,9.9,0.3,NA,"Meso","Meso","Eu","Oligo","Hyper",275.149138437491,"Eu"
"261","NCCA10-1395_1_SURFACE",9429,"NCCA10-1395",1,"8/23/10","SURFACE",28.5361,-96.3386,"Gulf","GULF4_Texas Coast","TX",2010,10.02,0.453,0.025,0.065,0.029,1.9,15.4,0.6,NA,"Meso","Meso","Meso","Oligo","Eu",103.597890995752,"Eu"
"262","NCCA10-1396_1_SURFACE",9430,"NCCA10-1396",1,"8/25/10","SURFACE",28.654,-96.5967,"Gulf","GULF4_Texas Coast","TX",2010,12.58,0.793,0.006,0.13,0.084,0.2,13.4,0.5,NA,"Meso","Meso","Eu","Oligo","Hyper",218.117082607083,"Eu"
"263","NCCA10-1397_1_SURFACE",9431,"NCCA10-1397",1,"8/18/10","SURFACE",28.6861,-96.2225,"Gulf","GULF4_Texas Coast","TX",2010,24.77,0.788,0.009,0.167,0.095,0.2,10.4,0.4,NA,"Eu","Meso","Eu","Oligo","Hyper",229.952188195199,"Eu"
"264","NCCA10-1398_1_SURFACE",9432,"NCCA10-1398",1,"8/17/10","SURFACE",28.5534,-96.123,"Gulf","GULF4_Texas Coast","TX",2010,19.16,0.73,0.022,0.158,0.063,0.8,10.2,0.4,NA,"Meso","Meso","Eu","Oligo","Hyper",206.243897493328,"Eu"
"265","NCCA10-1399_1_SURFACE",9433,"NCCA10-1399",1,"8/24/10","SURFACE",28.636,-96.3825,"Gulf","GULF4_Texas Coast","TX",2010,14.41,0.753,0.009,0.144,0.088,0.2,11.5,0.5,NA,"Meso","Meso","Eu","Oligo","Hyper",209.086344087079,"Eu"
"266","NCCA10-1400_1_SURFACE",9434,"NCCA10-1400",1,"8/23/10","SURFACE",28.5611,-96.4111,"Gulf","GULF4_Texas Coast","TX",2010,11.63,0.554,0.023,0.082,0.039,1.3,15,0.6,NA,"Meso","Meso","Meso","Oligo","Hyper",131.888008377994,"Eu"
"267","NCCA10-1401_1_SURFACE",9435,"NCCA10-1401",1,"8/18/10","SURFACE",28.5845,-96.2702,"Gulf","GULF4_Texas Coast","TX",2010,14.46,0.585,0.013,0.092,0.05,0.6,14.1,1,NA,"Meso","Meso","Meso","Oligo","Hyper",134.257507154202,"Eu"
"268","NCCA10-1403_1_SURFACE",9436,"NCCA10-1403",1,"8/10/10","SURFACE",29.0946,-89.3121,"Gulf","GULF3_MS Delta LA","LA",2010,3.23,1.898,1.681,0.248,0.167,22.2,16.9,0.3,NA,"Oligo","Eu","Eu","Oligo","Meso",162.060497994937,"Eu"
"269","NCCA10-1405_1_SURFACE",9438,"NCCA10-1405",1,"8/22/10","SURFACE",29.172,-89.009,"Gulf","GULF3_MS Delta LA","LA",2010,60.35,1.248,0.319,0.226,0.045,15.6,12.2,0.4,NA,"Eu","Eu","Eu","Oligo","Hyper",186.312099209727,"Eu"
"270","NCCA10-1408_1_SURFACE",9439,"NCCA10-1408",1,"8/5/10","SURFACE",29.0127,-89.2647,"Gulf","GULF3_MS Delta LA","LA",2010,3.78,2.26,2.105,0.234,0.166,27.9,21.4,0.4,NA,"Oligo","Eu","Eu","Oligo","Meso",156.060918188779,"Eu"
"271","NCCA10-1410_1_SURFACE",9440,"NCCA10-1410",1,"8/23/10","SURFACE",29.0671,-89.2086,"Gulf","GULF3_MS Delta LA","LA",2010,3.07,2.093,2.201,0.256,0.16,30.3,18.1,0.5,NA,"Oligo","Eu","Eu","Oligo","Meso",147.286142265353,"Eu"
"272","NCCA10-1412_1_SURFACE",9441,"NCCA10-1412",1,"7/13/10","SURFACE",30.3894,-88.0009,"Gulf","GULF2_Bend Panhandle","AL",2010,6.9,0.375,0.008,0.051,0.014,1.3,16.2,0.6,NA,"Meso","Meso","Meso","Oligo","Eu",136.305380555569,"Eu"
"273","NCCA10-1413_1_SURFACE",9443,"NCCA10-1413",1,"7/12/10","SURFACE",30.3295,-87.9728,"Gulf","GULF2_Bend Panhandle","AL",2010,9.38,0.356,0.016,0.046,0.02,1.8,17,0.8,NA,"Meso","Meso","Meso","Oligo","Eu",86.3206469111937,"Eu"
"274","NCCA10-1414_1_SURFACE",9445,"NCCA10-1414",1,"7/14/10","SURFACE",30.2022,-88.0658,"Gulf","GULF2_Bend Panhandle","AL",2010,3.23,0.183,0.013,0.016,0.005,5.7,25.7,2,NA,"Oligo","Meso","Meso","Meso","Meso",-39.1381050757475,"Meso"
"275","NCCA10-1415_1_SURFACE",9446,"NCCA10-1415",1,"7/19/10","SURFACE",30.6493,-87.9489,"Gulf","GULF2_Bend Panhandle","AL",2010,9.19,0.365,0.011,0.056,0.02,1.2,14.5,0.6,NA,"Meso","Meso","Meso","Oligo","Eu",123.203860597152,"Eu"
"276","NCCA10-1416_1_SURFACE",9447,"NCCA10-1416",1,"7/13/10","SURFACE",30.3935,-87.9024,"Gulf","GULF2_Bend Panhandle","AL",2010,12.41,0.466,0.005,0.085,0.022,0.5,12.1,0.4,NA,"Meso","Meso","Meso","Oligo","Hyper",207.351773629615,"Eu"
"277","NCCA10-1417_1_SURFACE",9448,"NCCA10-1417",1,"7/9/10","SURFACE",30.2838,-88.0271,"Gulf","GULF2_Bend Panhandle","AL",2010,3.16,0.31,0.016,0.031,0.015,2.3,21.9,1.2,NA,"Oligo","Meso","Meso","Meso","Meso",38.5188606277719,"Meso"
"278","NCCA10-1418_1_SURFACE",9449,"NCCA10-1418",1,"7/15/10","SURFACE",30.5917,-88.112,"Gulf","GULF2_Bend Panhandle","AL",2010,13.72,0.549,0.009,0.056,0.01,2,21.6,0.5,NA,"Meso","Meso","Meso","Oligo","Hyper",187.517782249218,"Eu"
"279","NCCA10-1419_1_SURFACE",9450,"NCCA10-1419",1,"7/12/10","SURFACE",30.3402,-87.9844,"Gulf","GULF2_Bend Panhandle","AL",2010,34.98,0.576,0.017,0.089,0.026,1.4,14.3,0.7,NA,"Eu","Meso","Meso","Oligo","Hyper",170.82137360696,"Eu"
"280","NCCA10-1420_1_SURFACE",9451,"NCCA10-1420",1,"7/8/10","SURFACE",30.2428,-87.9885,"Gulf","GULF2_Bend Panhandle","AL",2010,9.83,0.408,0.017,0.048,0.013,2.9,18.7,0.9,NA,"Meso","Meso","Meso","Oligo","Eu",105.752342205534,"Eu"
"281","NCCA10-1421_1_SURFACE",9452,"NCCA10-1421",1,"7/14/10","SURFACE",30.2419,-88.0748,"Gulf","GULF2_Bend Panhandle","AL",2010,6.09,0.226,0.011,0.021,0.005,4.8,24.3,1.3,NA,"Meso","Meso","Meso","Meso","Eu",18.7535201051214,"Meso"
"282","NCCA10-1422_1_SURFACE",9453,"NCCA10-1422",1,"7/20/10","SURFACE",30.452,-87.9277,"Gulf","GULF2_Bend Panhandle","AL",2010,10.02,0.448,0.013,0.054,0.022,1.3,18.5,0.6,NA,"Meso","Meso","Meso","Oligo","Eu",131.136372212027,"Eu"
"283","NCCA10-1423_1_SURFACE",9454,"NCCA10-1423",1,"7/9/10","SURFACE",30.2939,-88.0216,"Gulf","GULF2_Bend Panhandle","AL",2010,4.47,0.34,0.016,0.038,0.016,2.2,19.8,1.1,NA,"Oligo","Meso","Meso","Meso","Meso",62.4746670286495,"Meso"
"284","NCCA10-1424_1_SURFACE",9455,"NCCA10-1424",1,"7/7/10","SURFACE",30.293,-88.124,"Gulf","GULF2_Bend Panhandle","AL",2010,6.63,0.311,0.014,0.034,0.01,3.1,20.4,1,NA,"Meso","Meso","Meso","Oligo","Eu",66.0357991534381,"Meso"
"285","NCCA10-1429_1_SURFACE",9458,"NCCA10-1429",1,"7/14/10","SURFACE",30.4761,-87.0456,"Gulf","GULF2_Bend Panhandle","FL",2010,10.69,0.408,0.016,0.021,0.01,3.5,42.9,1,NA,"Meso","Meso","Meso","Oligo","Eu",51.2206026245167,"Meso"
"286","NCCA10-1430_1_SURFACE",9459,"NCCA10-1430",1,"7/13/10","SURFACE",30.3792,-86.9033,"Gulf","GULF2_Bend Panhandle","FL",2010,6.33,0.448,0.014,0.029,0.012,2.6,34.4,1.2,NA,"Meso","Meso","Meso","Meso","Eu",74.1546363555178,"Meso"
"287","NCCA10-1431_1_SURFACE",9460,"NCCA10-1431",1,"7/12/10","SURFACE",30.3788,-87.2001,"Gulf","GULF2_Bend Panhandle","FL",2010,2.86,0.3,0.018,0.017,0.008,5,39.2,2.5,NA,"Oligo","Meso","Meso","Meso","Meso",-21.8807244936295,"Meso"
"288","NCCA10-1432_1_SURFACE",9461,"NCCA10-1432",1,"7/14/10","SURFACE",30.4952,-87.0186,"Gulf","GULF2_Bend Panhandle","FL",2010,5.87,0.339,0.032,0.016,0.01,7,45.7,1.1,NA,"Meso","Meso","Meso","Meso","Eu",-5.77936783189791,"Meso"
"289","NCCA10-1433_1_SURFACE",9462,"NCCA10-1433",1,"7/13/10","SURFACE",30.366,-87.0827,"Gulf","GULF2_Bend Panhandle","FL",2010,6.64,0.36,0.018,0.023,0.01,4,35.1,1.4,NA,"Meso","Meso","Meso","Meso","Eu",31.2813832136363,"Meso"
"290","NCCA10-1434_1_SURFACE",9463,"NCCA10-1434",1,"7/12/10","SURFACE",30.3457,-87.2399,"Gulf","GULF2_Bend Panhandle","FL",2010,2.69,0.354,0.017,0.017,0.009,4.2,47.1,2.4,NA,"Oligo","Meso","Meso","Meso","Meso",-7.78577646149826,"Meso"
"291","NCCA10-1435_1_SURFACE",9464,"NCCA10-1435",1,"9/9/10","SURFACE",28.1843,-96.8279,"Gulf","GULF4_Texas Coast","TX",2010,5.73,0.793,0.181,0.176,0.106,3.8,9.9,0.3,NA,"Meso","Meso","Eu","Oligo","Eu",162.766140340056,"Eu"
"292","NCCA10-1437_1_SURFACE",9466,"NCCA10-1437",1,"9/1/10","SURFACE",28.3244,-96.7577,"Gulf","GULF4_Texas Coast","TX",2010,14.95,0.653,0.003,0.154,0.12,0.1,9.4,0.3,NA,"Meso","Meso","Eu","Oligo","Hyper",242.313505846999,"Eu"
"293","NCCA10-1438_1_SURFACE",9467,"NCCA10-1438",1,"8/31/10","SURFACE",28.3633,-96.4849,"Gulf","GULF4_Texas Coast","TX",2010,5.93,0.398,0.016,0.048,0.022,1.6,18.3,0.8,NA,"Meso","Meso","Meso","Oligo","Eu",79.0356646547563,"Meso"
"294","NCCA10-1439_1_SURFACE",9468,"NCCA10-1439",1,"9/1/10","SURFACE",28.2882,-96.6942,"Gulf","GULF4_Texas Coast","TX",2010,11.4,0.651,0.005,0.12,0.079,0.1,12,0.5,NA,"Meso","Meso","Eu","Oligo","Hyper",202.091787414004,"Eu"
"295","NCCA10-1440_1_SURFACE",9469,"NCCA10-1440",1,"10/4/10","SURFACE",28.1611,-96.85,"Gulf","GULF4_Texas Coast","TX",2010,8.88,0.541,0.033,0.134,0.114,0.6,9,0.3,NA,"Meso","Meso","Eu","Oligo","Eu",154.23480252973,"Eu"
"296","NCCA10-1441_1_SURFACE",9470,"NCCA10-1441",1,"9/9/10","SURFACE",28.2116,-96.747,"Gulf","GULF4_Texas Coast","TX",2010,9.16,0.67,0.14,0.131,0.107,2.9,11.3,0.6,NA,"Meso","Meso","Eu","Oligo","Eu",107.917589939144,"Eu"
"297","NCCA10-1442_1_SURFACE",9471,"NCCA10-1442",1,"9/1/10","SURFACE",28.3725,-96.7405,"Gulf","GULF4_Texas Coast","TX",2010,10.17,0.639,0.001,0.14,0.105,NA,10.1,0.5,NA,"Meso","Meso","Eu","Oligo","Eu",246.928978161456,"Eu"
"298","NCCA10-1443_1_SURFACE",9472,"NCCA10-1443",1,"8/30/10","SURFACE",28.3523,-96.5191,"Gulf","GULF4_Texas Coast","TX",2010,5.34,0.406,0.016,0.054,0.03,1.2,16.6,0.8,NA,"Meso","Meso","Meso","Oligo","Eu",81.2512215856489,"Meso"
"299","NCCA10-1445_1_SURFACE",9473,"NCCA10-1445",1,"8/30/10","SURFACE",28.4262,-96.4334,"Gulf","GULF4_Texas Coast","TX",2010,4.95,0.375,0.017,0.036,0.015,2.5,23.1,0.6,NA,"Oligo","Meso","Meso","Oligo","Eu",72.4607211911524,"Meso"
"300","NCCA10-1446_1_SURFACE",9474,"NCCA10-1446",1,"7/12/10","SURFACE",30.2537,-90.5202,"Gulf","GULF3_MS Delta LA","LA",2010,9.51,0.461,0.006,0.132,0.098,0.1,7.7,1.5,NA,"Meso","Meso","Eu","Meso","Eu",99.4520169252157,"Eu"
"301","NCCA10-1447_1_SURFACE",9476,"NCCA10-1447",1,"8/8/10","SURFACE",29.9894,-89.7957,"Gulf","GULF3_MS Delta LA","LA",2010,9.45,0.566,0.01,0.132,0.083,0.3,9.5,0.6,NA,"Meso","Meso","Eu","Oligo","Eu",142.050110793564,"Eu"
"302","NCCA10-1448_1_SURFACE",9478,"NCCA10-1448",1,"7/18/10","SURFACE",30.0494,-89.6844,"Gulf","GULF3_MS Delta LA","LA",2010,8.47,0.458,0.003,0.1,0.062,0.1,10.1,0.5,NA,"Meso","Meso","Meso","Oligo","Eu",150.523874528416,"Eu"
